doc_id,processed_smiles,standard_value,standard_units,standard_type,standard_relation,molregno,canonical_smiles,chembl_id,tid,target_chembl_id,target_name,organism,l1,l2,l3,inchi,Stereo,duplicate,pAct,Label
4182.0,CC(=N)N1CCC(Oc2ccc3nc(CCC(=O)O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,1.3,nM,Ki,=,290697.0,CC(=N)N1CCC(Oc2ccc3nc(CCC(=O)O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,CHEMBL369583,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,XIGZPTTUWNOELV-UHFFFAOYSA-N,,0.0,8.886056647693163,1
4182.0,CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,2.0,nM,Ki,=,292667.0,CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,CHEMBL176744,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,KGPZQXDFVFKKHK-UHFFFAOYSA-N,,0.0,8.698970004336019,1
4182.0,CCC(C)c1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,3.3,nM,Ki,=,292919.0,CCC(C)c1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,CHEMBL367476,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,YRGZLJWUMMQQED-UHFFFAOYSA-N,2_?,0.0,8.481486060122112,1
15309.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1,1999.86,nM,Ki,=,238804.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1,CHEMBL145741,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,ORVQAEPSSZSIJP-NDEPHWFRSA-N,7_S,0.0,5.699000406013823,0
15309.0,COC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1ccc2ccccc2c1,26977.39,nM,Ki,=,239078.0,COC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1ccc2ccccc2c1,CHEMBL145795,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,YPWYAMXNARFYGB-WUFINQPMSA-N,4_R|16_S,0.0,4.569000069616974,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H](C(=O)NCc3ccccc3)C2)c1,16982.44,nM,Ki,=,238571.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H](C(=O)NCc3ccccc3)C2)c1,CHEMBL357211,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,LJPUJNBCWHTDLT-JDXGNMNLSA-N,9_S|30_S,0.0,4.769999911123512,0
15309.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NC(=O)OC(C)(C)C)CC1,64565.42,nM,Ki,=,238753.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NC(=O)OC(C)(C)C)CC1,CHEMBL435423,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,YFSVEQAACJQEOL-KRWDZBQOSA-N,7_S,0.0,4.190000019529944,0
4182.0,COC(=O)C(C)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,80.0,nM,Ki,=,289879.0,COC(=O)C(C)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,CHEMBL366405,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,WHWVUIVBICTFFL-UHFFFAOYSA-N,4_?,0.0,7.096910013008056,1
15135.0,Cc1c(F)c(Oc2cccc(C(=N)N)c2)cc(Oc2cccc(C(=N)N)c2)c1F,12.0,nM,Ki,=,211311.0,Cc1c(F)c(Oc2cccc(C(=N)N)c2)cc(Oc2cccc(C(=N)N)c2)c1F,CHEMBL126575,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,AMIWNBPSEQZDCD-UHFFFAOYSA-N,,0.0,7.920818753952375,1
15309.0,Cc1c(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c2c1OC(C)(C)CC2,79983.43,nM,Ki,=,238518.0,Cc1c(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c2c1OC(C)(C)CC2,CHEMBL142241,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,JTXVBGNJVYUFNK-VWLOTQADSA-N,9_S,0.0,4.09699997556969,0
15309.0,COC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1,17988.71,nM,Ki,=,238613.0,COC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1,CHEMBL145517,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,KKNAAPVJEPGURT-UPVQGACJSA-N,4_S|11_S,0.0,4.7449999795098705,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1,38018.94,nM,Ki,=,642792.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1,CHEMBL1161253,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,GNANSBQAIRJZPA-XZOQPEGZSA-N,9_S|31_R,0.0,4.419999995796937,0
4182.0,CCCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,2.8,nM,Ki,=,292459.0,CCCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,CHEMBL176640,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,MFYPOSMFHGOLGC-UHFFFAOYSA-N,,0.0,8.55284196865778,1
4182.0,COC(=O)CCCN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,30.0,nM,Ki,=,292521.0,COC(=O)CCCN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,CHEMBL366855,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,ZXRXOVXEQHMMRL-UHFFFAOYSA-N,,0.0,7.522878745280337,1
15309.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,41020.41,nM,Ki,=,238504.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL358970,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,NXVHWZWNOYBQDB-DEOSSOPVSA-N,7_S,0.0,4.387000003162004,0
15309.0,CC(C)OC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1,15995.58,nM,Ki,=,238453.0,CC(C)OC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1,CHEMBL356580,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,QANKSDVNEIMBIU-AHWVRZQESA-N,6_S|13_S,0.0,4.796000007769141,0
4182.0,CC(=N)N1CCC(N(CC(N)=O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,0.46,nM,Ki,=,289881.0,CC(=N)N1CCC(N(CC(N)=O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,CHEMBL369480,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,QYQMIYAPIMHSEV-UHFFFAOYSA-N,,0.0,9.337242168318426,1
15309.0,CC(C)(C)c1ccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCN(S(C)(=O)=O)CC2)cc1,6760.83,nM,Ki,=,239367.0,CC(C)(C)c1ccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCN(S(C)(=O)=O)CC2)cc1,CHEMBL358110,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,VXHOIUCHSWQRDN-QFIPXVFZSA-N,12_S,0.0,5.169999984192581,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCc3ccccc32)c1,2301.44,nM,Ki,=,238232.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCc3ccccc32)c1,CHEMBL356711,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,WYWGVEORQFXDRM-SANMLTNESA-N,9_S,0.0,5.638000342954921,0
4182.0,CC(=N)N1CCC(Oc2ccc3c(c2)nc(CCC(=O)O)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,5.9,nM,Ki,=,290029.0,CC(=N)N1CCC(Oc2ccc3c(c2)nc(CCC(=O)O)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,CHEMBL369159,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,RGTGCSLUNYBBSA-UHFFFAOYSA-N,,0.0,8.229147988357855,1
15309.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,11994.99,nM,Ki,=,239300.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,CHEMBL344552,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,PDUAANYGIKYUEJ-QHCPKHFHSA-N,7_S,0.0,4.9210001097592295,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)c1,38018.94,nM,Ki,=,238739.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)c1,CHEMBL145504,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,AVOGZFCXVGYVQZ-QHCPKHFHSA-N,9_S,0.0,4.419999995796937,0
15309.0,CNC(=O)[C@H]1CCCCN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1ccc2ccccc2c1,60255.96,nM,Ki,=,238864.0,CNC(=O)[C@H]1CCCCN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1ccc2ccccc2c1,CHEMBL145250,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,DISOALCEZYDTJI-BJKOFHAPSA-N,4_R|12_S,0.0,4.219999989963101,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CC(C(=O)O)=Cc3ccccc32)c1,41020.41,nM,Ki,=,642802.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CC(C(=O)O)=Cc3ccccc32)c1,CHEMBL1161263,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,SIIOVSIYCFQWOC-SANMLTNESA-N,9_S,0.0,4.387000003162004,0
15309.0,CS(=O)(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,21978.6,nM,Ki,=,172284.0,CS(=O)(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL323101,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,ROHIQEZPGXXMND-QHCPKHFHSA-N,10_S,0.0,4.6579999748624346,0
4182.0,CC(=N)N1CCC(Oc2ccc3c(c2)nc(CCC(N)=O)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,3.6,nM,Ki,=,290028.0,CC(=N)N1CCC(Oc2ccc3c(c2)nc(CCC(N)=O)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,CHEMBL172795,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,SYCHLRLBTIFAQR-UHFFFAOYSA-N,,0.0,8.443697499232712,1
4182.0,CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,420.0,nM,Ki,=,290911.0,CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,CHEMBL177212,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,DDMAASAAMQWCEV-UHFFFAOYSA-N,,0.0,6.376750709602099,1
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C=O)CC2)c1,19010.78,nM,Ki,=,238838.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C=O)CC2)c1,CHEMBL145108,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,VVZXKVGDWVTRBJ-DEOSSOPVSA-N,9_S,0.0,4.721000063947474,0
15309.0,Cc1ccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCCC2)cc1,76032.63,nM,Ki,=,238372.0,Cc1ccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCCC2)cc1,CHEMBL358491,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,UMVFELAMFJYVHP-IBGZPJMESA-N,9_S,0.0,4.11899998682835,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C(=O)O)CC2)c1,43351.09,nM,Ki,=,642784.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C(=O)O)CC2)c1,CHEMBL1161245,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,SDOWUAKIKFBMQP-QHCPKHFHSA-N,9_S,0.0,4.362999978348463,0
15309.0,CC(C)c1cc(C(C)C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC[C@H](C(=O)OCc3ccccc3)C2)c(C(C)C)c1,899.5,nM,Ki,=,238889.0,CC(C)c1cc(C(C)C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC[C@H](C(=O)OCc3ccccc3)C2)c(C(C)C)c1,CHEMBL358961,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,OXUHCWOWSJTBCS-NHZFLZHXSA-N,14_S|31_S,0.0,6.04599883231843,1
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(N3CCCCC3)CC2)c1,21978.6,nM,Ki,=,608963.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(N3CCCCC3)CC2)c1,CHEMBL609410,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,YVHZFZYCWHQSCD-NDEPHWFRSA-N,9_S,0.0,4.6579999748624346,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCCC2)c1,26001.6,nM,Ki,=,238600.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCCC2)c1,CHEMBL145630,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,VIQGIWIWABCQHU-DEOSSOPVSA-N,9_S,0.0,4.58499992703721,0
15309.0,COc1cc(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c1C,100000.0,nM,Ki,=,238774.0,COc1cc(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c1C,CHEMBL143067,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,XASLMEPRPDINAK-QFIPXVFZSA-N,11_S,0.0,4.0,0
15309.0,COC(=O)C1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1,2600.16,nM,Ki,=,238603.0,COC(=O)C1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1,CHEMBL342542,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,HPELWHQWTSQFOC-NDEPHWFRSA-N,10_S,0.0,5.58499992703721,0
15309.0,CS(=O)(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc3ccccc23)CC1,9705.1,nM,Ki,=,238918.0,CS(=O)(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc3ccccc23)CC1,CHEMBL356348,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,SSYPATBDYOCKHJ-QFIPXVFZSA-N,10_S,0.0,5.012999985342652,0
15309.0,COC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,77624.71,nM,Ki,=,238520.0,COC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL143594,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,XITXJWXDVLVJHN-QHCPKHFHSA-N,10_S,0.0,4.110000009303415,0
15309.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3c(c2)C(=O)c2ccccc2C3=O)CC1,2301.44,nM,Ki,=,238674.0,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3c(c2)C(=O)c2ccccc2C3=O)CC1,CHEMBL435621,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,ZBOHPZBQBYFWDK-SANMLTNESA-N,7_S,0.0,5.638000342954921,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCc3ccccc3C2)c1,17988.71,nM,Ki,=,238699.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCc3ccccc3C2)c1,CHEMBL358366,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,AUWXTWMVJPBPIG-MHZLTWQESA-N,9_S,0.0,4.7449999795098705,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C(=O)NCc3ccccc3)CC2)c1,34994.52,nM,Ki,=,239156.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(C(=O)NCc3ccccc3)CC2)c1,CHEMBL357635,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,ZTKGLXQJLVEPQY-PMERELPUSA-N,9_S,0.0,4.455999959081013,0
4182.0,CCCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,0.23,nM,Ki,=,293803.0,CCCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,CHEMBL177225,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,KFGFAIRWDMAAQY-UHFFFAOYSA-N,,0.0,9.638272163982407,1
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2cccc3ccccc23)C(=O)N2CCCCC2)c1,16982.44,nM,Ki,=,238965.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2cccc3ccccc23)C(=O)N2CCCCC2)c1,CHEMBL344104,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,SFYGGBIILXMJDK-QFIPXVFZSA-N,9_S,0.0,4.769999911123512,0
15309.0,Cc1cc(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c1,95499.26,nM,Ki,=,238283.0,Cc1cc(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c1,CHEMBL358526,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,IAGDKMMVEZAZLT-QFIPXVFZSA-N,10_S,0.0,4.019999993643078,0
15309.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC2)c1,50003.45,nM,Ki,=,238967.0,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC2)c1,CHEMBL145211,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,SHAPLXCLVYRXBM-QFIPXVFZSA-N,9_S,0.0,4.30100003037852,0
4182.0,COC(=O)CCCN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,300.0,nM,Ki,=,290912.0,COC(=O)CCCN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,CHEMBL366556,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,DCMAFNXBSDZERX-UHFFFAOYSA-N,,0.0,6.522878745280337,1
4182.0,COC(=O)C(C)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,1.1,nM,Ki,=,290910.0,COC(=O)C(C)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,CHEMBL366535,194.0,CHEMBL244,Coagulation factor X,Homo sapiens,Enzyme,Protease,Serine protease,NKIYBUFLKCGVNM-UHFFFAOYSA-N,4_?,0.0,8.958607314841775,1
